Name,Tag,Organisatietype,Telefoon,Fax,E-mail,Internet,Beschrijving,Bezoekadres,Postadres
Rechtbank Den Haag,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 362 22 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Den-Haag,Rechtbank Den Haag (tot 1 januari 2013 rechtbank ’s-Gravenhage) is bevoegd om in zijn arrondissement recht te spreken in eerste aanleg. Dit betekent dat de rechtbank de eerste instantie is die een juridisch oordeel over een zaak of conflict geeft. Daarna kan een procespartij (bijvoorbeeld de veroordeelde of het Openbaar Ministerie (om.nl)) in hoger beroep gaan bij gerechtshof Den Haag. De rechtbank is samen met gerechtshof Den Haag en het College van Beroep voor het bedrijfsleven gevestigd in het Haagse paleis van justitie. Er werken ongeveer 200 rechters en 720 andere medewerkers in vaste dienst.,NOn Bezoekadres,
Rechtbank Gelderland,Laatst bijgewerkt op:30-12-2019,Rechtspraak,(088) 361 20 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Gelderland,"Ruim 160 rechters telt de rechtbank Gelderland. Samen met de ongeveer 600 medewerkers behandelen zij elk jaar zo’n 175.000 rechtszaken. Dat doen zij deskundig en adequaat, met oog voor de belangen van de individuele rechtzoekende. De rechtbank telt 4 locaties: Apeldoorn, Arnhem, Nijmegen en Zutphen. In het 'zaaksverdelingsreglement (officielebekendmakingen.nl)' staat welke zaken op welke locatie worden behandeld.",NOn Bezoekadres,
Rechtbank Limburg,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 361 22 22 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Limburg,De rechtbank Limburg heeft twee (zittings)locaties:,NOn Bezoekadres,
"Raad van Beroep voor Belastingzaken van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba",Laatst bijgewerkt op:03-04-2020,Rechtspraak,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,NOn Bezoekadres,
Raad voor de rechtspraak,Laatst bijgewerkt op:22-01-2020,Rechtspraak,088 361 00 00 (algemeen),088 361 00 22,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Raad-voor-de-rechtspraak,"De Raad voor de rechtspraak is opgericht in 2002 als onafhankelijke buffer tussen de rechtspraak en de regering. De Raad hoort bij de rechterlijke macht, maar spreekt zelf geen recht.","Kneuterdijk 1 ,2514 EM Den Haag","Postbus 90613 ,2509 LP Den Haag"
"Raad van Beroep in Ambtenarenzaken van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba",Laatst bijgewerkt op:19-03-2020,Rechtspraak,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,NOn Bezoekadres,
Gerechtshof Arnhem-Leeuwarden,Laatst bijgewerkt op:27-12-2019,Rechtspraak,(088) 361 81 81 (algemeen),No Fax Number,mailto:info.hof-arle@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Gerechtshoven/Gerechtshof-Arnhem-Leeuwarden,"Gerechtshof Arnhem-Leeuwarden behandelt zaken in hoger beroep van de rechtbanken Gelderland, Midden-Nederland, Noord-Nederland en Overijssel, behalve socialezekerheids- en ambtenarenzaken (Centrale Raad van Beroep) en overige zaken op het gebied van bestuursrecht (Raad van State). Er werken ongeveer 400 mensen in vaste dienst.",NOn Bezoekadres,
Gerechtshof ’s-Hertogenbosch,Laatst bijgewerkt op:27-12-2019,Rechtspraak,(088) 362 20 00 (algemeen),No Fax Number,mailto:info.gerechtshofshertogenbosch@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Gerechtshoven/Gerechtshof-s-Hertogenbosch,"Het gerechtshof ’s-Hertogenbosch behandelt zaken in hoger beroep van de rechtbanken Limburg, Oost-Brabant en Zeeland-West-Brabant, behalve socialezekerheids- en ambtenarenzaken (Centrale Raad van Beroep) en overige zaken op het gebied van bestuursrecht (Raad van State). Het hof is samen met rechtbank Oost-Brabant gevestigd in het Paleis van Justitie in ’s-Hertogenbosch. Er werken ongeveer 260 mensen.","Paleis van Justitie ,Leeghwaterlaan 8","Postbus 70583 ,5201 CZ ’s-Hertogenbosch"
Parket bij de Hoge Raad,Laatst bijgewerkt op:03-03-2020,Rechtspraak,(070) 361 13 11 (algemeen),No Fax Number,mailto:info@hogeraad.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Hoge-Raad-der-Nederlanden/Over-de-Hoge-Raad/Parket/Paginas/default.aspx,"Aan de Hoge Raad is een parket verbonden, waarvan advocaten-generaal en de (plaatsvervangend) procureur-generaal deel uitmaken. De voornaamste taak van het parket is het geven van rechtsgeleerde adviezen, zogenoemde conclusies, aan de Hoge Raad. Het parket is onafhankelijk en wordt geleid door de procureur-generaal. De conclusies worden door de advocaten-generaal (AG’s) namens de procureur-generaal genomen.","Korte Voorhout 8 ,2511 EK ’s-Gravenhage","Postbus 20303 ,2500 EH ’s-Gravenhage"
Rechtbank Amsterdam,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 361 70 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Amsterdam,Rechtbank Amsterdam is bevoegd om in haar arrondissement recht te spreken in eerste aanleg. Dit betekent dat de rechtbank de eerste instantie is die een juridisch oordeel over een zaak of conflict geeft. Daarna kan een procespartij (bijvoorbeeld de veroordeelde of het Openbaar Ministerie (om.nl)) in hoger beroep gaan bij gerechtshof Amsterdam. Bij rechtbank Amsterdam werken ongeveer 200 rechters en 800 andere medewerkers.,"Parnassusweg 220 ,1076 AV Amsterdam","Postbus 84500 ,1080 BN Amsterdam"
College van Beroep voor het bedrijfsleven,Laatst bijgewerkt op:27-12-2019,Rechtspraak,(088) 362 39 10 (algemeen),(088) 361 00 56,mailto:mediation.cbb@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/College-van-Beroep-voor-het-bedrijfsleven,"Het College van Beroep voor het bedrijfsleven (CBb) is één van de vier hoogste bestuursrechters die Nederland kent. De andere drie zijn de Hoge Raad, de Afdeling bestuursrechtspraak van de Raad van State en de Centrale Raad van Beroep.","Prins Clauslaan 14 ,2595 AJ ’s-Gravenhage","Postbus 20021 ,2500 EA ’s-Gravenhage"
"Gerecht in Ambtenarenzaken van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba",Laatst bijgewerkt op:19-03-2020,Rechtspraak,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,NOn Bezoekadres,
Hoge Raad der Nederlanden,Laatst bijgewerkt op:21-01-2020,Rechtspraak,(070) 361 13 11 (algemeen),No Fax Number,mailto:info@hogeraad.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Hoge-Raad-der-Nederlanden,"De Hoge Raad der Nederlanden is de hoogste rechter in Nederland op het gebied van civiel recht, strafrecht en belastingrecht. Hij is dat ook voor Aruba, Curaçao, Sint Maarten en Bonaire, Saba en Sint Eustatius. De Hoge Raad is geen derde instantie maar cassatierechter. Dat betekent dat de Hoge Raad beoordeelt of de feitenrechter het recht goed heeft uitgelegd en toegepast.","Korte Voorhout 8 ,2511 EK ’s-Gravenhage","Postbus 20303 ,2500 EH ’s-Gravenhage"
"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba",Laatst bijgewerkt op:01-04-2020,Rechtspraak,(+5997) 178 172 (centrale Bonaire),(+5997) 175 779,mailto:focur@caribjustitia.org,http://gemhofvanjustitie.org,"Het Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba verzorgt de rechtspraak in eerste aanleg en in hoger beroep op de eilanden. Het Gemeenschappelijk Hof van Justitie wordt gevormd door een president en de overige leden en plaatsvervangende leden. De leden van het Gemeenschappelijk Hof van Justitie behandelen, zowel in eerste aanleg als in hoger beroep, civiele zaken, strafzaken en bestuursrechtelijke zaken (waaronder belastingzaken).","Fort Oranje ,Plasa Reina Wilhelmina","Plasa Reina Wilhelmina ,Kralendijk, Bonaire"
Gerechtshof Amsterdam,Laatst bijgewerkt op:27-12-2019,Rechtspraak,(088) 361 11 10 (algemeen),(088) 361 00 41,mailto:voorlichting-hof-amsterdam@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Gerechtshoven/Gerechtshof-Amsterdam,"Gerechtshof Amsterdam behandelt zaken in hoger beroep van de rechtbanken Amsterdam en Noord-Holland, behalve sociale-zekerheids- en ambtenarenzaken (Centrale Raad van Beroep) en overige zaken op het gebied van bestuursrecht (Raad van State).","IJdok 20 ,1013 MM Amsterdam","Postbus 1312 ,1000 BH Amsterdam"
Centrale Raad van Beroep,Laatst bijgewerkt op:27-12-2019,Rechtspraak,(088) 362 11 11 (algemeen),(088) 361 00 49,mailto:crvb@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Centrale-Raad-van-beroep,"De Centrale Raad van Beroep is een van de vier hoogste bestuursrechters die Nederland kent. De andere drie zijn de Hoge Raad, de Afdeling bestuursrechtspraak van de Raad van State en het College van Beroep voor het bedrijfsleven.","Vrouwe Justitiaplein 1 ,3511 EX Utrecht","Postbus 16002 ,3500 DA Utrecht"
Gerechtshof Den Haag,Laatst bijgewerkt op:27-12-2019,Rechtspraak,(088) 362 23 33 (algemeen/civiele zaken),No Fax Number,mailto:info.gerechtshofdenhaag@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Gerechtshoven/Gerechtshof-Den-Haag,"Gerechtshof Den Haag behandelt zaken in hoger beroep van de rechtbanken Den Haag en Rotterdam, behalve socialezekerheids- en ambtenarenzaken (Centrale Raad van Beroep) en overige zaken op het gebied van bestuursrecht (Raad van State).","Paleis van Justitie ,Prins Clauslaan 60","Postbus 20302 ,2500 EH Den Haag"
Eerste Kamer der Staten-Generaal,Laatst bijgewerkt op:18-02-2020,"Hoog College van Staat,",070-3129200 (algemeen),070-3129390,mailto:postbus@eerstekamer.nl,http://www.eerstekamer.nl,"ZETELVERDELING: Volkspartij voor Vrijheid en Democratie (VVD): 12 zetels, Forum voor Democratie (FVD): 10 zetels, Christen Democratisch Appel (CDA): 9 zetels, GroenLinks (GL): 8 zetels, Democraten 66 (D66): 7 zetels, Partij van de Arbeid (PvdA): 6 zetels, Partij voor de Vrijheid (PVV): 5 zetels, Socialistische Partij (SP): 4 zetels, ChristenUnie (CU): 4 zetels, Partij voor de Dieren (PvdD): 3 zetels, 50PLUS: 2 zetels, Staatkundig Gereformeerde Partij (SGP): 2 zetels, Fractie-Otten: 2 zetels, Onafhankelijke Senaatsfractie (OSF): 1 zetel.","Binnenhof 22 ,2513 AA Den Haag","Postbus 20017 ,2500 EA Den Haag"
Orde van Octrooigemachtigden,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,"Carnegieplein 5kamer 1.03 ,2517 KJ 's-Gravenhage","Postbus 96979 ,2509 JJ 's-Gravenhage"
Tweede Kamer der Staten-Generaal,Laatst bijgewerkt op:14-10-2019,"Hoog College van Staat,",No contact NUmber,No Fax Number,No E-mail,http://www.tweedekamer.nl,"ZETELVERDELING: Volkspartij voor Vrijheid en Democratie VVD: 32 zetels, Partij voor de Vrijheid PVV: 20 zetels, Christen Democratisch Appel CDA: 19 zetels, Democraten 66 D66: 19 zetels, GroenLinks GL: 14 zetels, Socialistische Partij SP: 14 zetels, Partij van de Arbeid PvdA: 9 zetels, ChristenUnie CU: 5 zetels, Partij voor de Dieren PvdD: 4 zetels, 50plus: 4 zetels, Staatkundig gereformeerde Partij SGP: 3 zetels, DENK: 3 zetels, Forum voor Democratie FvD: 2 zetels, Lid Van Kooten-Arissen: 1 zetel, Van Haga: 1 zetel, Voorzitter: Arib. K. PvdA","Lange Poten 4 ,2511 CL Den Haag","Postbus 20018 ,2500 EA Den Haag"
Nederlandse Orde van Advocaten,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,"Neuhuyskade 94 ,2596 XM 's-Gravenhage","Postbus 30851 ,2500 GW 's-Gravenhage"
Koninklijke Notariële Beroepsorganisatie,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,"Spui 184 ,2511 BW 's-Gravenhage","Postbus 16020 ,2500 BA 's-Gravenhage"
Koninklijke Nederlandse Beroepsorganisatie van Accountants,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,"Antonio Vivaldistraat 2 ,1083 HP Amsterdam","Postbus 7984 ,1008 AD Amsterdam"
Saba,Laatst bijgewerkt op:10-12-2019,Caribisch openbaar lichaam,+599 416 39 34 (algemeen),No Fax Number,mailto:info@rijksdienstcn.com,https://www.rijksdienstcn.com,Non Beschrijving,NOn Bezoekadres,
Koninklijke Beroepsorganisatie van Gerechtsdeurwaarders,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,"Prinses Margrietplantsoen 49 ,2595 BR 's-Gravenhage","Prinses Margrietplantsoen 49 ,2595 BR 's-Gravenhage"
Bonaire,Laatst bijgewerkt op:12-03-2020,Caribisch openbaar lichaam,+599 717 83 33 (algemeen),+599 717 83 30,mailto:info@rijksdienstcn.com,https://www.rijksdienstcn.com,Non Beschrijving,"Kaya International z/n ,Kralendijk, Bonaire","Postbus 357 ,Kralendijk, Bonaire"
Nederlandse Loodsencorporatie,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,+ 31 (0) 88 900 25 00 (algemeen),No Fax Number,mailto:info@loodswezen.nl,https://www.loodswezen.nl,Non Beschrijving,"Berghaven 16 ,3151 HB Hoek van Holland",
Economische Zaken en Klimaat,Laatst bijgewerkt op:09-01-2020,Ministerie,070 379 89 11 (algemeen),No Fax Number,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-economische-zaken-en-klimaat,"Het ministerie van Economische Zaken en Klimaat (EZK) staat voor een duurzaam, ondernemend Nederland. We zetten ons in voor een uitstekend ondernemersklimaat en een sterke internationale concurrentiepositie. Door de juiste randvoorwaarden te creëren en door ondernemers de ruimte te geven om te vernieuwen en te groeien. Door samenwerking te stimuleren tussen onderzoekers en ondernemers. Zo bouwen we onze topposities in energie, industrie en diensten verder uit en investeren we in een krachtig en duurzaam Nederland.","Bezuidenhoutseweg 73 ,2594 AC Den Haag","Postbus 20401 ,2500 EK Den Haag"
Afdeling bestuursrechtspraak van de Raad van State,Laatst bijgewerkt op:03-03-2020,"Organisatieonderdeel,",(070) 426 44 26 (algemeen),(070) 365 13 80,mailto:voorlichting@raadvanstate.nl,https://www.raadvanstate.nl,Non Beschrijving,"Kneuterdijk 22 ,2514 EN Den Haag","Postbus 20019 ,2500 EA Den Haag"
Defensie,Laatst bijgewerkt op:29-08-2019,Ministerie,070 318 81 88 (algemeen),070 318 78 88,No E-mail,https://www.defensie.nl,Non Beschrijving,"Plein 4 ,2511 CR Den Haag","Postbus 20701 ,2500 ES Den Haag"
Buitenlandse Zaken,Laatst bijgewerkt op:09-01-2020,Ministerie,070 348 64 86 (algemeen),070 348 48 48,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken,"Het ministerie van Buitenlandse Zaken (BZ) is ieder uur van de dag ergens in de wereld actief. Zo is het ministerie er voor u als u voor korte of langere tijd naar het buitenland gaat. Ook behartigt BZ de internationale betrekkingen, vanuit Den Haag en via een netwerk van ruim 150 posten over de hele wereld. Daarnaast geeft het ministerie van Buitenlandse Zaken, in overleg met andere ministeries, vorm aan het Europa van de toekomst.","Rijnstraat 8 ,2515 XP Den Haag","Postbus 20061 ,2500 EB Den Haag"
Algemene Zaken,Laatst bijgewerkt op:09-01-2020,Ministerie,(070) 356 41 00 (algemeen),No Fax Number,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-algemene-zaken,"Zorgdragen voor zaken betreffende het algemeen regeringsbeleid van het Koninkrijk, voor zover deze zorg niet bepaaldelijk wordt behartigd door een der andere departementen van algemeen bestuur (k.b. van 11 oktober 1947, Stb. H346).","Binnenhof 19 ,2513 AA Den Haag","Postbus 20001 ,2500 EA Den Haag"
Binnenlandse Zaken en Koninkrijksrelaties,Laatst bijgewerkt op:29-08-2019,Ministerie,070 426 64 26 (algemeen),070 363 91 53,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,"'Samen leven en wonen, in een democratische rechtsstaat, met een slagvaardig bestuur. BZK, duidelijk voor mensen'. Dit is de missie van BZK.","Turfmarkt  147 ,2511 DP Den Haag","Postbus 20011 ,2500 EA Den Haag"
